id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-12-30T09:16:09;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-12-30T13:13:01;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-12-29T22:16:25;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-12-29T17:46:02;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-12-30T12:23:56;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-12-29T21:10:08;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-12-29T23:40:16;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-12-30T13:43:40;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-12-30T05:04:19;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-12-29T17:44:29;32637;8639
